package	kind	tool	max_rss_k	rss_gib	wall_s	rc	args
@beep/dock-react	build	tsgo	401520	0.38	0.28	0	-b tsconfig.json
@beep/qa-capture	build	tsgo	395500	0.38	0.27	0	-b tsconfig.json
@beep/lexical-schema	build	tsgo	393444	0.38	0.3	0	-b tsconfig.json
@beep/pandoc-ast	build	tsgo	384752	0.37	0.32	0	-b tsconfig.json
@beep/file-processing	build	tsgo	384264	0.37	0.25	0	-b tsconfig.json
@beep/architecture-lab-domain	build	tsgo	379080	0.36	0.38	0	-b tsconfig.json
@beep/architecture-lab-use-cases	build	tsgo	378568	0.36	0.33	0	-b tsconfig.json
@beep/runpod	build	tsgo	377676	0.36	0.38	0	-b tsconfig.json
@beep/semantic-web	build	tsgo	361248	0.34	0.24	0	-b tsconfig.json
@beep/openclaw	build	tsgo	360648	0.34	0.47	0	-b tsconfig.json
@beep/postgres	build	tsgo	357620	0.34	0.3	0	-b tsconfig.json
@beep/govinfo	build	tsgo	356052	0.34	0.21	0	-b tsconfig.json
@beep/drizzle	build	tsgo	352576	0.34	0.27	0	-b tsconfig.json
@beep/ontology	build	tsgo	351564	0.34	0.22	0	-b tsconfig.json
@beep/ontology-server	build	tsgo	349508	0.33	0.28	0	-b tsconfig.json
@beep/gov-legal-mcp	build	tsgo	349448	0.33	0.24	0	-b tsconfig.json
@beep/rdf	build	tsgo	345900	0.33	0.24	0	-b tsconfig.json
@beep/m365-mcp	build	tsgo	342728	0.33	0.24	0	-b tsconfig.json
@beep/ffmpeg	build	tsgo	341224	0.33	0.28	0	-b tsconfig.json
@beep/uspto-mcp	build	tsgo	340228	0.32	0.24	0	-b tsconfig.json
@beep/pacer	build	tsgo	340216	0.32	0.57	0	-b tsconfig.json
@beep/m365	build	tsgo	331524	0.32	0.59	0	-b tsconfig.json
@beep/phoenix	build	tsgo	330952	0.32	0.58	0	-b tsconfig.json
@beep/graph-3d	build	tsgo	330952	0.32	0.2	0	-b tsconfig.json
@beep/anthropic	build	tsgo	329992	0.31	0.2	0	-b tsconfig.json
@beep/obs	build	tsgo	328392	0.31	0.34	0	-b tsconfig.json
@beep/ai-sync	build	tsgo	324860	0.31	0.2	0	-b tsconfig.json
@beep/ai-provider-cli	build	tsgo	320728	0.31	0.24	0	-b tsconfig.json
@beep/venice-ai	build	tsgo	318776	0.3	0.23	0	-b tsconfig.json
@beep/openai-compat	build	tsgo	317128	0.3	0.43	0	-b tsconfig.json
@beep/architecture-lab-proof	build	tsgo	317004	0.3	0.18	0	-b tsconfig.json
@beep/mcp-kit	build	tsgo	314576	0.3	0.38	0	-b tsconfig.json
@beep/langextract	build	tsgo	311112	0.3	0.2	0	-b tsconfig.json
@beep/tika	build	tsgo	309000	0.29	0.2	0	-b tsconfig.json
@beep/libpff	build	tsgo	307400	0.29	0.22	0	-b tsconfig.json
@beep/test-utils	build	tsgo	306888	0.29	0.37	0	-b tsconfig.json
@beep/ecfr	build	tsgo	302388	0.29	0.2	0	-b tsconfig.json
@beep/cosmos	build	tsgo	297772	0.28	0.18	0	-b tsconfig.json
@beep/exiftool	build	tsgo	294636	0.28	0.47	0	-b tsconfig.json
@beep/face-detection	build	tsgo	290568	0.28	0.29	0	-b tsconfig.json
@beep/pretext	build	tsgo	286384	0.27	0.31	0	-b tsconfig.json
@beep/discord	build	tsgo	284920	0.27	0.2	0	-b tsconfig.json
@beep/doc-text	build	tsgo	284872	0.27	0.19	0	-b tsconfig.json
@beep/uspto	build	tsgo	282936	0.27	0.45	0	-b tsconfig.json
@beep/sanity	build	tsgo	281904	0.27	0.24	0	-b tsconfig.json
@beep/tailscale	build	tsgo	278220	0.27	0.21	0	-b tsconfig.json
@beep/colors	build	tsgo	276744	0.26	0.23	0	-b tsconfig.json
@beep/hubspot	build	tsgo	275180	0.26	0.2	0	-b tsconfig.json
@beep/n3	build	tsgo	274180	0.26	0.17	0	-b tsconfig.json
@beep/epistemic-config	build	tsgo	273668	0.26	0.16	0	-b tsconfig.json
@beep/onepassword-cli	build	tsgo	271592	0.26	0.18	0	-b tsconfig.json
@beep/architecture-lab-config	build	tsgo	269628	0.26	0.16	0	-b tsconfig.json
@beep/shacl	build	tsgo	269512	0.26	0.17	0	-b tsconfig.json
@beep/provenance	build	tsgo	266508	0.25	0.27	0	-b tsconfig.json
@beep/oxigraph	build	tsgo	265908	0.25	0.16	0	-b tsconfig.json
@beep/architecture-lab-ui	build	tsgo	265096	0.25	0.17	0	-b tsconfig.json
@beep/rdf-canonize	build	tsgo	264328	0.25	0.16	0	-b tsconfig.json
@beep/api-transport	build	tsgo	261384	0.25	0.16	0	-b tsconfig.json
@beep/pglite	build	tsgo	261324	0.25	0.34	0	-b tsconfig.json
@beep/utils	build	tsgo	261304	0.25	0.34	0	-b tsconfig.json
@beep/architecture-lab-client	build	tsgo	258252	0.25	0.14	0	-b tsconfig.json
@beep/duckdb	build	tsgo	254760	0.24	0.35	0	-b tsconfig.json
@beep/identity	build	tsgo	224456	0.21	0.31	0	-b tsconfig.json
@beep/lint-rules	build	tsgo	208496	0.2	0.15	0	-b tsconfig.json
@beep/ontology-domain	build	tsgo	200940	0.19	0.16	0	-b tsconfig.json
@beep/ontology-config	test	tsgo	194936	0.19	0.15	0	-p tsconfig.test.json --noEmit
@beep/fc-runs	test	tsgo	151296	0.14	0.15	0	-p tsconfig.test.json --noEmit
@beep/db-admin	drizzle	tsgo	146220	0.14	0.08	0	-p tsconfig.drizzle.json
@beep/fc-runs	build	tsgo	142596	0.14	0.25	0	-b tsconfig.json
@beep/dol	test	tsgo	91416	0.09	0.1	0	-p tsconfig.test.json --noEmit
@beep/federal-register	test	tsgo	88244	0.08	0.14	0	-p tsconfig.test.json --noEmit
@beep/courtlistener	test	tsgo	85884	0.08	0.07	0	-p tsconfig.test.json --noEmit
@beep/protobuf	test	tsgo	74620	0.07	0.09	0	-p tsconfig.test.json --noEmit
@beep/courtlistener	build	tsgo	73476	0.07	0.11	0	-b tsconfig.json
@beep/federal-register	build	tsgo	72876	0.07	0.12	0	-b tsconfig.json
@beep/types	build	tsgo	71652	0.07	0.15	0	-b tsconfig.json
@beep/dol	build	tsgo	71644	0.07	0.08	0	-b tsconfig.json
@beep/protobuf	build	tsgo	71636	0.07	0.07	0	-b tsconfig.json
@beep/schema	build	tsgo	71628	0.07	0.07	0	-b tsconfig.json
@beep/data	build	tsgo	71624	0.07	0.05	0	-b tsconfig.json
@beep/observability	build	tsgo	71348	0.07	0.06	0	-b tsconfig.json
