run_id	created_at	event	branch	run_conclusion	job_name	job_conclusion	duration_s
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	PR Size Label	success	8
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	JSDoc Ratchet	success	292
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Professional Desktop IPC Stdio	success	58
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Property Laws	success	660
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Security	success	46
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Nix Shell	success	69
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Test Integration	success	359
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Secret Scanning	success	34
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	SAST	success	88
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Lint	success	348
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Check	cancelled	1817
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Commitlint	success	76
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Codegen Drift	success	77
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Test Unit	success	714
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Repo Sanity	success	91
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Lint Policy	success	998
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Docgen	success	1478
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Coverage Regression	success	748
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Fallow Advisory Envelopes	success	95
30748547716	2026-08-02T12:47:00Z	pull_request	@chore/7-30-26	cancelled	Build	skipped	0
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Fallow Advisory Envelopes	success	97
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Knip	success	73
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Nix Shell	success	74
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	JSDoc Ratchet	success	289
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Security	success	42
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Property Laws	success	635
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	PR Size Label	success	8
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Commitlint	success	71
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	SAST	success	83
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Professional Desktop IPC Stdio	success	55
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Lint	success	321
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Secret Scanning	success	44
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Repo Sanity	success	94
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Test Integration	success	358
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Docgen	cancelled	1217
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Lint Policy	success	1002
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Test Unit	success	704
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Coverage Regression	success	714
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Check	cancelled	1216
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Codegen Drift	success	73
30742186638	2026-08-02T09:39:09Z	pull_request	@chore/7-30-26	cancelled	Build	skipped	0
30738356172	2026-08-02T07:43:28Z	push	main	failure	Knip	success	72
30738356172	2026-08-02T07:43:28Z	push	main	failure	Professional Desktop IPC Stdio	success	56
30738356172	2026-08-02T07:43:28Z	push	main	failure	Lint	success	839
30738356172	2026-08-02T07:43:28Z	push	main	failure	Fallow Advisory Envelopes	success	90
30738356172	2026-08-02T07:43:28Z	push	main	failure	Property Laws	success	631
30738356172	2026-08-02T07:43:28Z	push	main	failure	Check	success	442
30738356172	2026-08-02T07:43:28Z	push	main	failure	Test Unit	success	741
30738356172	2026-08-02T07:43:28Z	push	main	failure	Lint Policy	success	605
30738356172	2026-08-02T07:43:28Z	push	main	failure	Test Integration	success	317
30738356172	2026-08-02T07:43:28Z	push	main	failure	Security	success	38
30738356172	2026-08-02T07:43:28Z	push	main	failure	Repo Sanity	success	95
30738356172	2026-08-02T07:43:28Z	push	main	failure	Docgen	success	568
30738356172	2026-08-02T07:43:28Z	push	main	failure	Coverage Regression	success	692
30738356172	2026-08-02T07:43:28Z	push	main	failure	Codegen Drift	success	78
30738356172	2026-08-02T07:43:28Z	push	main	failure	Build	failure	841
30738356172	2026-08-02T07:43:28Z	push	main	failure	Secret Scanning	success	37
30738356172	2026-08-02T07:43:28Z	push	main	failure	SAST	success	77
30738356172	2026-08-02T07:43:28Z	push	main	failure	Nix Shell	success	73
30738356172	2026-08-02T07:43:28Z	push	main	failure	JSDoc Ratchet	success	300
30738356172	2026-08-02T07:43:28Z	push	main	failure	Commitlint	success	77
30738356172	2026-08-02T07:43:28Z	push	main	failure	PR Size Label	skipped	
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Property Laws	success	678
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Test Unit	success	681
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Professional Desktop IPC Stdio	success	63
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Build	skipped	
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Lint	success	319
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Nix Shell	success	70
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Commitlint	success	86
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Check	success	387
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Repo Sanity	success	102
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	JSDoc Ratchet	success	275
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Coverage Regression	success	782
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Docgen	success	544
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Test Integration	success	289
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Codegen Drift	success	65
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Fallow Advisory Envelopes	success	90
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Secret Scanning	success	38
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Lint Policy	success	578
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Knip	success	72
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	SAST	success	79
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	Security	success	39
30738308358	2026-08-02T07:41:58Z	pull_request	@chore/goal-skills-agents-documentation-audit	success	PR Size Label	success	8
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Fallow Advisory Envelopes	success	88
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Professional Desktop IPC Stdio	success	61
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Property Laws	success	595
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	PR Size Label	success	6
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Lint Policy	success	604
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Commitlint	success	67
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Docgen	success	628
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Security	success	39
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Knip	success	76
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	SAST	success	87
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Secret Scanning	success	43
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Coverage Regression	success	706
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Repo Sanity	success	87
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Nix Shell	success	70
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Lint	success	327
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Codegen Drift	success	74
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Test Integration	success	323
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	JSDoc Ratchet	success	292
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Check	success	471
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Test Unit	success	726
30737940386	2026-08-02T07:30:23Z	pull_request	feat/contradiction-source-highlight-pr	success	Build	skipped	0
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Fallow Advisory Envelopes	success	90
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	PR Size Label	success	6
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Lint Policy	failure	781
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Knip	success	69
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Coverage Regression	failure	702
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Codegen Drift	success	78
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Professional Desktop IPC Stdio	success	57
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Docgen	success	564
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	JSDoc Ratchet	success	297
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Commitlint	success	75
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	SAST	success	87
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Property Laws	success	654
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Secret Scanning	success	33
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Security	success	54
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Nix Shell	success	69
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Lint	success	327
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Test Integration	success	328
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Test Unit	success	724
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Check	success	458
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Repo Sanity	success	91
30735824339	2026-08-02T06:23:23Z	pull_request	feat/contradiction-source-highlight-pr	failure	Build	skipped	0
